channel_id,title,handle,subscriber_count,total_view_count,total_video_count,subscriber_count_status,total_view_count_status,total_video_count_status,external_links_status,publication_finalized_status
UC4ISkLMNqcm9ZrO0bYC6yYA,Rochele Beatriz,@RocheleBeatriz,6370,364806,60,estimated,exact,exact,observed,ready_partial
UCmHDpLpieZHXjR6dmjo53vA,Mabe Back,@mabeback,14100,2818753,402,estimated,exact,exact,observed,ready_partial
UCiBgumAKnwiBKuOAvqUpCkw,Canal Rudinho Santos (OFICIAL),@RudinhoSantos,9170,2110428,751,estimated,exact,exact,observed,ready_auto
UCtzix4eWI8wlT_2ilo5HHNA,Gabriel Dog Trainer,@gabrieldogtrainer,1680,195859,81,estimated,exact,exact,observed,ready_partial
UC7TAtvMHKUfsWIRm878zijA,Fernando Freitas CS,@fernandofreitascs,180000,7653822,1891,estimated,exact,exact,observed,ready_auto
UCMu3_wVuh5wNpXd664rEEiA,Priscilla Olyva,@PriscillaOlyva,4270,496848,239,estimated,exact,exact,observed,ready_partial
UC6SFvnN4dVJVAQXDLgdgI_g,Mauricio Brillinger • Meu Livro e Eu,@MeuLivroeEu,7550,259992,122,estimated,exact,exact,observed,ready_partial
UC_VqKCbXOYA-lZtRW5JvtHg,Costurando com a Lu,@costurandocomaluprofessora,28500,1246405,329,estimated,exact,exact,observed,ready_auto
UCiCXRHhwqNWGVfO6it2jH6g,Ju Camargo (AgroRepórter),@JulianaCamargo_agro,5100,1061612,14,estimated,exact,exact,observed,ready_partial
UCsLI41JjfpWXOIa6V563WrA,BORDADO LUNEVILLE,@BORDADOLUNEVILLE,5030,140820,28,estimated,exact,exact,observed,ready_partial
UC4cIcAV7MoOyG47cKWGxMjA,Cariocas na Viagem por Marcele e Sillas,@cariocasnaviagem,12800,1721635,152,estimated,exact,exact,observed,ready_auto
UCDrCfZolWBPnNNsKMqb-K-A,Pano Xadrez - Eliana Zerbinatti Tia Lili Patchwork,@tialilipatchwork,307000,27821992,1144,estimated,exact,exact,observed,ready_auto
UCnhGK-oPqwA_Ft9NxGlcj2w,Bordados da Nat,@bordanat,3270,234523,36,estimated,exact,exact,observed,ready_partial
UCu0vroGSTLJZNT1vnW10CFA,Jonatan Santos,@JonatanSantosYT,4500000,1438224291,7108,estimated,exact,exact,observed,ready_auto
UCurde3V512qeWX7nIGhjB1w,Lu Carrilho,@lu.carrilho,44700,2451057,106,estimated,exact,exact,observed,ready_partial
UCY4n8HxPSvjGPEJgGCV1DSw,Ciência Jovem,@cienciajovem3085,8620,207611,812,estimated,exact,exact,observed,ready_partial
UCieqCDRrLWYOya5snRH2JlA,Borde Pedraria!,@BordePedraria,10700,603338,314,estimated,exact,exact,observed,ready_partial
UCoLKjgH53FqpEMHbt_acGNw,FRED - ANIME WHATEVER,@Fredanimewhatever,1400000,88822106,1710,estimated,exact,exact,observed,ready_auto
UCRLAwUhbsZgbFM-TsvHCKig,Kakashi Hatake,@Sexto_Hokage,22300,10208381,44,estimated,exact,exact,observed,ready_partial
UCSAvI0dt9vgtF2H1iq97VBw,mariozoliborala,@mariozoliborala4997,6710,2298370,507,estimated,exact,exact,observed,ready_auto
UCMbDNeS2Ei0ZdYeBRyx2pXw,SAMU Games e Animes,@SAMUGameseAnimes,10100,3719981,38,estimated,exact,exact,observed,ready_partial
UC5wrP1Oe_MQXSNh7HOQ-ZZA,Noite Proibida,@NoiteProibida,120000,92830,10,estimated,exact,exact,observed,ready_auto
UCEACFJ2tXd9IR2IEKS68dSg,Ellen Torres,@GatoZeon,1330,310172,345,estimated,exact,exact,observed,ready_auto
UC74HxQHSzfWUCX-wJ9lKfBw,Gaboni Professional,@gaboniprofessional,4660,976413,366,estimated,exact,exact,observed,ready_auto
UCeYSbgTMfVZ3ntFnYrfzpXQ,Dra. Fernanda Sulzbach,@DraFernandaSulzbach,64200,4550900,611,estimated,exact,exact,observed,ready_auto
UCENggTnygy4o8fvIK9VHyTA,Caroline M.,@Maircaroline,28300,2796865,31,estimated,exact,exact,observed,ready_partial
UCV74Nj_nQf9HtHxbdmVuw1g,Claudia Ramos,@claudiamagalhaes2,2600,1238807,172,estimated,exact,exact,observed,ready_auto
UCbwpLambSalvUMldxHVDJYA,LS Cabelos de Diva - Cabeleireira Profissional,@leehDiamante,14000,1794649,170,estimated,exact,exact,observed,ready_partial
UCmOts6jJaYogqO-YbZ68U6w,MANU RIBEIRO e BEBÊ REBORN,@FLAVIARIBEIROeMANU,513000,447178052,1075,estimated,exact,exact,observed,ready_auto
UCH5OuswpmXn2agd5EEQXtTw,Dot Cosméticos,@dotcosmeticos,14800,8667723,1208,estimated,exact,exact,observed,ready_auto
UCoirnb8Mk_R0pODN69-unyw,Khauana Pacheco,@KhauanaPacheco,245000,24901410,545,estimated,exact,exact,observed,ready_auto
UCkqVVH_Yj3C0dAFAcYrwGCg,Kátlen Cachos,@Katlencachos,21700,8217152,557,estimated,exact,exact,observed,ready_auto
UCG6rl4Cga0jDIWrnlZRfgLw,Luciano Bastos Alisamentos,@lucianobastosalisamentos,8680,1165660,288,estimated,exact,exact,observed,ready_auto
UCjn-Ekz7SMKWLY7n0Vi_qTg,Sophi Malheiros,@sophimalheiros,20400,5507474,334,estimated,exact,exact,observed,ready_partial
UCWDv6q6tnBfHOZreE48CZtA,Renata Schneider - Topic,,11500,4404000,9,estimated,exact,exact,observed,ready_partial
