channel_id,title,contents,likes_policy_zero,description_empty,subscriber_count,total_view_count,total_video_count,video_views,video_likes,video_comments,channel_issues,video_issues
UCKsr0Kzlksez1qjpYMC_8nQ,Prefeitura Municipal Itinga - MG,1,0,0,2700,148557,171,1135,24,0,0,0
UCL7Bgplfmp-9hF1ghndgxng,Maya Massafera,30,0,0,8000000,77432619,1876,156590,5264,213,0,0
UCLRKwsLDBfeSPDeGY_MeOmg,Luciana Angarten,29,0,10,445000,28667677,837,56491,3221,141,0,0
UCLV-PpN0Kn9wtKI35hX59gA,Adailton SAntos,4,0,1,11600,877298,327,10403,633,79,0,0
UCLZlSM0JlgCi1_-2eteV7iQ,The Path of the Unknown,16,0,0,8720,880861,62,229650,9082,648,0,0
UCLcjSlcRLflthFcnxfaarNw,Sandra Tudo Junto e Misturado,16,0,16,251000,23550072,1508,3602,196,7,0,0
UCLl23ctAnvCe5AvzraHtKAw,Turno BGames,12,0,11,23700,4658269,873,33369,2316,82,0,0
UCLodZ15cpCoNmGjlBPRmeLw,Lucas BIGBOY,11,0,5,7370,1713508,1046,10363,81,3,0,0
UCLw_vy_PFx0Nkw1gnrggCNg,João Henrique Jhonny,28,0,8,7590,1056295,385,210232,6687,83,0,0
UCLzm2p73mf07KAyP9OO_r4A,Premier Crypto,30,0,0,9910,1258487,410,77356,5766,300,0,0
UCMCkaEYtoQbgd4HqTGmADyA,ALX Motors,5,0,0,7700,1418393,129,6094,159,17,0,0
UCMKIgy4wjZBvWaeW8wMAXTg,FREAK UREA,1,0,0,9960,14016562,2283,3,0,0,0,0
UCMUgN_-unyxDDhH095Y7u7Q,A VOZ do POVO Brasileiro,30,0,0,106000,2376575,37,1324655,183804,17332,0,0
UCMoaUzUUuLxubFslGloLCfg,Core 2,30,0,0,317000,30349007,338,2225947,192943,12344,0,0
UCMtqUJr3K7DrEtGveoipqkQ,MC Pipokinha,30,0,1,285000,104846614,874,119724,4411,260,0,0
UCNEBcKODDU-lILNuUDt3gbA,BMX 77,3,0,0,52900,4116806,229,3145,92,11,0,0
UCNXf7QqzA6k6RU8QIcFLkag,Daniel & Dimy,7,0,0,1560000,454625320,139,13960637,394078,2951,0,0
UCNaLkgsbLdBS6fReDZm_nWQ,Brasil Zueiro,2,2,2,18800,14487677,89,519864,0,140,0,0
UCNdmMv0UNG470K6YHYznwKA,BMW Brasil,30,0,0,13400,73978240,350,4102219,3159,26,0,0
UCNmkiszkH3TDkwzYdcv_yOA,Cristina Gomes,4,0,4,117000,28580789,281,14061,552,13,0,0
UCOYQPkWPEk7QPBfCnSKOXkw,KARINA UZÊDA,2,0,0,164000,6889551,131,12552,1040,64,0,0
UCOcnJ5lOAitvziiGRhNH-6w,Boletim INSS,30,0,0,127000,16822679,5216,15182,626,55,0,0
UCOg6CW-xF37zMklY5Gojbcw,Vivi Winkler,30,0,27,1730000,698168849,5484,1000531,34483,767,0,0
UCOjzpMNHdhNJy2wxghrf2mQ,Wuizard,30,0,0,429000,93293808,1928,734559,27238,1515,0,0
UCOkv4fjuE0VKilXfwiWUneA,Biscuit Da Lary,2,0,1,12600,617031,137,471,76,3,0,0
UCOo6nRzUzmaKZ_mwK94MfIg,DCVídeos,30,0,0,162000,45703005,2065,61390,1374,99,0,0
